datetime,0310162,0310174,0310177,0310179,0450307,0550502,0605008,E206270,E206271,E207417,E207418,E207723,E209177,E209178,E220891,E223756,E227431,E229797,E231866,E232244,E232245,E232246,E238212,E240337,E242892,E249492,E283549,E285829,E286369,E289309,E293810,E299830,E300350,E302130,E304570,E308566,E316370
2022-01-03 07:00:00,31.52028,25.20444,31.67229,25.52455,27.25333,30.49275,29.677,33.43044,37.7196,33.2652,27.53085,33.75378,25.30388,40.11685,2.66076,30.79423,10.54911,23.70364,21.13889,34.84895,30.9731,34.10846,,,33.09848,3.998332,36.41413,,8.280278,41.7388,27.64417,27.89028,33.90509,19.77183,22.57417,29.79,24.16971
2022-01-03 08:00:00,32.24152,29.84083,33.4057,30.7641,26.15556,25.0759,25.91903,34.96865,38.33401,35.21344,27.6676,34.72353,28.02559,40.27547,3.153057,32.76911,9.889906,25.67697,25.01583,36.08323,37.70171,39.15231,,31.96486,34.17753,0.746388,35.74591,,7.847498,41.80717,32.20333,28.02306,33.63814,22.29955,19.65028,29.2,30.50515
2022-01-03 09:00:00,31.67026,16.6075,30.13267,22.00003,26.08944,25.00396,25.64475,33.41993,36.74736,29.05824,26.42804,34.0822,24.68704,38.46333,1.261207,23.19089,4.655351,30.93394,14.51042,36.04712,37.31466,32.82404,,22.85708,32.32006,3.928611,38.77911,,7.278611,41.59251,30.50778,27.75333,33.74887,25.94806,17.50833,26.26,24.14287
2022-01-03 10:00:00,29.0608,8.273611,28.9962,17.56092,26.29139,25.62616,27.77742,32.83483,36.6535,33.6686,26.42524,33.48522,25.03418,37.40094,1.609103,22.24414,9.744129,30.90638,6.853472,34.92739,36.23666,33.79139,,26.9943,30.71281,8.3,37.41006,,10.53778,42.02081,15.38806,27.7625,33.51864,27.12231,20.06694,25.75,20.93429
2022-01-03 11:00:00,30.02863,17.59194,30.87952,24.47878,26.29389,25.56105,28.20669,31.89469,36.83058,33.66129,27.38531,32.73606,23.62436,39.12149,3.195491,19.68083,9.390072,29.49815,18.0682,35.02559,36.92615,32.97575,,31.81361,28.45856,10.08861,38.36776,,20.99556,41.51126,20.23583,27.44306,33.48475,31.49481,17.69389,26.72,27.87254
2022-01-03 12:00:00,29.10051,22.65083,32.39779,27.25889,25.74333,25.28512,28.89875,34.58689,37.56735,36.66659,30.58254,36.91789,25.00726,37.22071,8.081216,21.55014,10.11343,36.24506,34.95819,34.94462,37.79312,36.19312,,40.54472,32.59269,17.76722,38.84585,,,42.10092,13.15194,27.53667,33.7565,32.91894,12.64694,30.66,27.93707
2022-01-03 13:00:00,32.11895,32.49194,34.46722,31.20792,26.47111,25.32393,31.01475,35.85838,37.61853,38.25505,29.87098,36.98669,30.76698,38.51096,12.67084,26.59842,13.41092,37.27654,38.69069,36.76116,38.09375,39.65316,,43.01208,31.83295,14.84833,40.54268,,22.92917,41.39499,21.86555,27.58861,,36.24844,27.5604,29.93,30.14824
2022-01-03 14:00:00,36.65493,34.92639,35.06824,33.16011,26.26472,26.07461,30.14764,39.4247,38.6504,39.94787,30.79441,40.45016,30.17799,38.93165,12.70296,16.71678,37.56422,,38.70681,37.21333,39.87146,40.61892,,42.97222,35.60182,20.95028,42.28584,,24.35639,41.7173,18.17583,27.90583,33.85367,36.9645,37.6825,30.85,25.5733
2022-01-03 15:00:00,31.23045,34.23028,30.36572,31.01825,26.50333,26.04115,27.51322,35.16558,39.78897,40.66935,31.41866,40.3325,28.9429,37.50924,28.84461,24.09772,35.25478,38.73724,36.83347,35.69044,36.88101,40.87075,,41.13694,34.89878,14.67694,43.07481,,18.87028,40.51136,27.2625,27.91611,34.06413,32.42029,36.07555,24.36,29.12155
2022-01-03 16:00:00,28.36698,35.17167,37.38322,33.66636,26.55639,25.45471,,36.58854,40.79665,38.47265,32.55457,40.87625,34.32126,39.39412,25.19715,,31.49052,34.92675,35.53153,34.84026,36.85307,41.97781,,40.34319,34.20174,8.711387,42.71488,,19.31139,39.45358,34.54889,27.63528,34.02655,32.29622,39.0475,29.92,35.42525
2022-01-03 17:00:00,28.56508,34.59,35.715,33.06779,26.08556,25.30867,28.98933,36.82026,39.78643,38.89469,29.93901,38.60331,33.46397,40.06392,22.69729,,39.07492,31.56845,,34.89659,34.37993,40.83369,,40.12875,28.8673,1.48861,42.46922,,15.3625,39.22265,17.44972,27.57861,34.29633,27.97757,40.665,28.96,32.40657
2022-01-03 18:00:00,12.6777,28.84056,29.10141,28.26881,27.11861,25.78687,28.09383,33.3086,38.1329,37.44419,27.75904,37.89911,29.38692,39.3307,22.1364,,31.40859,28.10178,34.785,33.16739,34.09558,38.83022,,34.88277,17.29736,1.649443,41.3446,,14.18194,37.61205,21.70861,27.95722,33.87175,15.60868,38.74661,29.45,23.41353
2022-01-03 19:00:00,13.34587,24.235,26.41905,17.47046,28.10056,25.37639,27.73961,32.69431,36.15517,32.61083,26.23257,36.14719,25.02491,37.89572,19.73446,,32.63261,25.32037,27.33014,32.83178,21.56081,35.64852,,21.30097,22.33375,0.153888,40.78966,,14.0625,33.9954,18.61861,27.84167,33.63644,25.66109,40.59,28.01,17.24239
2022-01-03 20:00:00,12.99535,21.59,28.0839,10.33774,29.1,24.22604,28.69703,33.91713,35.94498,37.85837,27.67568,38.05922,21.87417,34.73106,21.35769,,29.88611,28.07428,18.09139,27.91898,18.03821,36.70812,,19.5125,16.28457,1.658887,34.79081,,11.0975,33.62953,22.90833,27.90889,33.92204,27.22406,35.87255,25.94,4.421467
