datetime,0310162,0310177,0310179,0450307,0550502,0605008,E206271,E207417,E207418,E207723,E209177,E209178,E216670,E220217,E220891,E222520,E222778,E223615,E223616,E223756,E225267,E227431,E229797,E231866,E232244,E232246,E234670,E238212,E240337,E249492,E263701,E269223,E271963,E273483,E275843,E282711,E283549,E285829,E286369,E289309,E292149,E293810,E304570,M107004
2022-01-02 22:00:00,0.4391389,0.3129722,3.417044,4.39725,2.162498,3.417999,1.170139,6.498,1.497611,0.9141728,1.069722,0.0,2.0,0.0,3.856055,4.536018,4.692189,1.0,1.0,2.634805,6.905972,5.0,5.0,5.0,0.2857639,5.47425,,4.229861,6.0,6.421625,13.08187,6.0,3.188047,10.00139,2.927305,5.0,3.505194,4.0,10.81821,1.292556,25.61615,0.5309675,14.05,2.281471
2022-01-02 23:00:00,0.2148889,0.3433889,3.321271,4.112651,1.784026,2.364415,0.8155278,5.393639,2.773,0.8481708,0.7480834,0.0,2.0,1.0,2.906417,5.26862,3.897171,2.0,0.0,2.803472,9.223889,1.0,8.0,2.0,0.3165833,4.388195,,2.871528,7.0,6.015055,1.576221,6.0,3.76667,11.99722,2.53425,7.0,2.499194,4.0,12.43453,0.941972,40.63864,0.1844385,22.3436,1.188083
2022-01-03 00:00:00,0.0633616,0.5424722,4.042167,4.172741,1.783162,2.021888,0.9552339,2.437917,2.865583,1.052949,0.7564445,0.0,2.0,5.0,1.58727,5.757019,3.065093,7.0,,1.615278,6.180877,1.0,6.0,5.0,0.8317514,2.406577,,2.971639,9.0,7.22079,1.468721,5.0,2.171071,12.0,2.124667,6.0,2.087389,3.0,9.372152,3.196889,29.0343,0.3169972,14.608,1.915846
2022-01-03 01:00:00,0.1195192,0.8358824,4.406362,5.693095,2.144916,1.868597,0.8094444,1.736765,2.316686,1.145385,0.8965033,0.0,0.0,5.0,2.662893,4.291819,2.018663,4.0,0.0,1.463954,3.816313,5.0,3.0,5.0,0.3342628,2.219412,,2.825261,9.0,12.58157,1.425408,3.0,1.955716,9.004165,1.58683,3.0,3.25232,2.0,8.205244,2.924935,11.80223,0.4581136,9.291302,1.815721
2022-01-03 02:00:00,0.20925,0.5927778,4.14915,6.395833,2.803555,1.636332,0.6084167,2.259833,1.52,0.9309375,1.348,0.0,1.0,3.0,6.267445,2.094017,2.002798,1.0,0.0,1.533167,3.373166,6.0,2.0,4.0,0.291375,2.692028,,3.1525,6.0,9.977096,1.257943,4.0,2.248502,6.004167,2.5125,1.0,2.6255,5.0,8.811736,1.068722,6.32121,0.61245,5.255377,2.840693
2022-01-03 03:00:00,0.047,0.1735833,2.871878,6.478597,2.481915,1.341416,0.5694166,1.517583,1.043889,0.5902708,0.5348333,0.0,3.0,0.0,4.773806,1.849817,3.103773,5.0,0.0,1.580639,3.227165,4.0,0.0,2.0,0.2757222,2.116222,,3.095917,3.0,9.514165,1.129318,6.0,1.691089,8.995833,2.136972,4.0,2.026833,4.0,6.119443,1.73125,8.282794,1.100773,2.486675,2.986248
2022-01-03 04:00:00,0.0,0.0,2.757389,6.095623,2.055958,1.048694,0.5443611,1.715278,1.396528,0.6514908,0.24925,0.0,2.0,0.0,4.943528,3.315017,2.525171,3.0,3.0,1.919111,3.466083,1.0,2.0,3.0,0.3556944,1.77825,,3.335222,2.0,10.04965,0.892193,5.0,1.94491,5.005556,2.020528,6.0,1.431444,3.0,6.560123,1.653167,11.3574,1.687674,0.0,2.700526
2022-01-03 05:00:00,0.0106111,0.4678889,4.069578,5.885623,2.141458,1.180624,0.7702778,1.970639,1.522449,0.9145061,1.076528,0.0,1.0,3.0,3.7375,8.199023,2.40977,4.0,2.0,2.353028,3.660444,0.0,5.0,3.0,0.45975,1.111111,,3.182389,1.0,8.930096,0.8705,2.0,1.488654,2.004167,1.848778,5.0,1.657583,4.0,6.883749,2.049194,9.441348,1.843917,0.0,3.720804
2022-01-03 06:00:00,0.3821944,0.5338333,4.322686,5.743971,2.426429,1.024083,1.059639,3.00575,1.541778,1.02078,0.7337778,0.0,2.0,4.0,2.585222,9.175824,2.661509,6.0,3.0,2.755417,3.483304,0.0,3.0,2.0,0.5772349,1.837083,,3.012417,1.0,9.240971,0.979722,0.0,2.628026,2.0,1.540889,4.0,1.672028,7.0,6.836137,1.873639,4.541923,2.110436,0.0,2.462305
2022-01-03 07:00:00,0.6175278,0.7788333,4.369422,5.076623,3.222347,0.991652,1.293083,2.277702,1.804278,0.9604608,0.4396111,0.0,3.0,4.0,2.885472,6.24542,2.258425,5.0,3.0,2.886917,3.071805,4.0,1.0,1.0,0.8514234,1.466972,,1.739194,3.0,6.543665,0.698902,6.0,1.763332,8.990278,1.547194,2.0,1.326972,7.0,6.401971,0.332639,8.554725,1.616088,0.0,2.682111
2022-01-03 08:00:00,0.6469209,0.5919722,3.870245,4.698303,6.689498,1.105666,1.131901,0.4584167,2.235917,0.8886064,0.0,0.0,6.0,6.0,3.333994,7.466422,2.911431,3.0,0.0,2.655028,3.54339,7.0,1.0,1.0,0.6928645,0.4286607,,1.087694,1.0,9.202776,0.74368,5.0,1.901105,7.002778,1.175611,3.0,0.9490556,8.0,6.439346,0.582889,15.62258,1.758809,0.479153,1.511666
2022-01-03 09:00:00,0.6072757,0.397549,3.791701,5.26689,7.037693,1.514096,1.319444,0.8877124,1.798105,0.9635582,0.0,0.0200915,6.0,3.0,5.219402,9.908425,1.402896,6.0,3.0,6.179543,7.183795,9.0,4.0,0.0,0.7631891,1.082103,,1.631732,0.0,8.063997,1.611031,5.0,1.455203,8.99722,0.9375163,7.0,2.054281,10.0,7.1235,0.446405,7.618737,2.517862,0.0,2.166583
2022-01-03 10:00:00,0.9666945,0.6775556,5.112825,5.622221,6.667694,1.869415,1.590194,1.033998,1.880361,1.05573,0.8103611,0.0,4.0,3.0,7.316528,7.466422,1.604858,5.0,5.0,6.068444,3.342777,5.0,3.0,0.0,0.8416805,1.758472,,2.012083,1.0,9.038151,2.12225,7.0,1.659191,9.0,1.898056,5.0,2.231833,24.0,5.967998,0.583472,4.951857,4.729264,0.0,1.437777
